# Main invitation-blockers line
BCT_InvBlock_Actual;\nInvitation Blockers:[BCT_InvBlock_EvaluateTotalBlockers];;;;;;;;;;;;x
# Total blockers
BCT_InvBlock_TotalBlocker_Unmovable; §R(Unmovable)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_Ruler; §R(Ruler)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_Prisoner; §R(Prisoner)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_LiegeTempTitle; §R(LiegeTempTitle)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_LesserSpouse; §R(LesserSpouse)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_Consort; §Y(Consort)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_Concubine; §Y(Concubine)§!;;;;;;;;;;;;x
BCT_InvBlock_TotalBlocker_Child; §Y(Child)§!;;;;;;;;;;;;x
# List of normal blockers (multiple ones may be shown)
BCT_InvBlock_ListNormalBlockers;[BCT_InvBlock_None][BCT_InvBlock_Adventure][BCT_InvBlock_Rival][BCT_InvBlock_DiffRelGroup][BCT_InvBlock_Married][BCT_InvBlock_Councillor][BCT_InvBlock_LiegeRelative];;;;;;;;;;;;;x
# None is only shown if none of the normal blockers will be shown
BCT_InvBlock_None; §G(None)§!;;;;;;;;;;;;x
# Individual normal blockers
BCT_InvBlock_DiffRelGroup_Uncertain_MP; §Y(§BMP:§YReligion)§!;;;;;;;;;;;;x
BCT_InvBlock_DiffRelGroup_NeedFavor; §Y(Religion)§!;;;;;;;;;;;;x
BCT_InvBlock_DiffRelGroup_Blocked; §R(Religion)§!;;;;;;;;;;;;x
BCT_InvBlock_Married_Uncertain_MP; §Y(§BMP:§YMarried)§!;;;;;;;;;;;;x
BCT_InvBlock_Married_Blocked; §R(Married)§!;;;;;;;;;;;;x
BCT_InvBlock_Councillor_Uncertain_MP; §Y(§BMP:§YCouncillor)§!;;;;;;;;;;;;x
BCT_InvBlock_Councillor_Blocked; §R(Councillor)§!;;;;;;;;;;;;x
BCT_InvBlock_LiegeRelative_Uncertain_MP; §Y(§BMP:§YRelative)§!;;;;;;;;;;;;x
BCT_InvBlock_LiegeRelative_Blocked; §R(Relative)§!;;;;;;;;;;;;x
BCT_InvBlock_Adventure_Uncertain_MP; §Y(§BMP:§YAdventure)§!;;;;;;;;;;;;x
BCT_InvBlock_Adventure_Blocked; §R(Adventure)§!;;;;;;;;;;;;x
BCT_InvBlock_Rival_Uncertain_MP; §Y(§BMP:§YRival)§!;;;;;;;;;;;;x
BCT_InvBlock_Rival_Blocked; §R(Rival)§!;;;;;;;;;;;;x
BCT_InvBlock_Foe_Uncertain; §Y(Foe)§!;;;;;;;;;;;;x
BCT_InvBlock_Foe_Uncertain_MP; §Y(§BMP:§YFoe)§!;;;;;;;;;;;;x
