#
# Decisions
edmp_debug_ai_simulation_enable;(ED:MP) Debug - AI Simulation Mode - Enable;;;;;;;;;;;;;x
edmp_debug_ai_simulation_enable_desc;§Y"AI Simulation Mode"§! allows you to be treated as AI for the purpose of §Ysome§! of the decisions added by the §M(ED:MP)§! mod, to aid with debugging.;;;;;;;;;;;;;x
edmp_debug_ai_simulation_enable_tt;§Y"AI Simulation Mode"§! §Genabled§!;;;;;;;;;;;;;x
edmp_debug_ai_simulation_disable;(ED:MP) Debug - AI Simulation Mode - Disable;;;;;;;;;;;;;x
edmp_debug_ai_simulation_disable_desc;§Y"AI Simulation Mode"§! allows you to be treated as AI for the purpose of §Ysome§! of the decisions added by the §M(ED:MP)§! mod, to aid with debugging.;;;;;;;;;;;;;x
edmp_debug_ai_simulation_disable_tt;§Y"AI Simulation Mode"§! §Rdisabled§!;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_enable;(ED:MP) Debug - MP Simulation Mode - Enable;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_enable_desc;§Y"MP Simulation Mode"§! allows this game to be treated as if it is multiplayer for the purpose of §Ysome§! of the decisions added by the §M(ED:MP)§! mod, to aid with debugging.;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_enable_tt;§Y"MP Simulation Mode"§! §Genabled§!;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_disable;(ED:MP) Debug - MP Simulation Mode - Disable;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_disable_desc;§Y"MP Simulation Mode"§! allows this game to be treated as if it is multiplayer for the purpose of §Ysome§! of the decisions added by the §M(ED:MP)§! mod, to aid with debugging.;;;;;;;;;;;;;x
edmp_debug_multiplayer_simulation_disable_tt;§Y"MP Simulation Mode"§! §Rdisabled§!;;;;;;;;;;;;;x
#
# Triggers
edmp_root_is_an_ai_tt;§Y[Root.GetTitledFirstName]§! is controlled by AI;;;;;;;;;;;;;x
edmp_root_is_an_ai_due_to_ai_simulation_mode_tt;§Y[Root.GetTitledFirstName]§! is controlled by AI §R!!!AI simulation mode!!!§!;;;;;;;;;;;;;x
edmp_this_is_not_a_multiplayer_game_tt;This is NOT a multiplayer game;;;;;;;;;;;;;x
edmp_this_is_not_a_multiplayer_game_fail_due_to_simulation_mode_tt;This is NOT a multiplayer game §R!!!MP simulation mode!!!§!;;;;;;;;;;;;;x
edmp_this_is_a_multiplayer_game_tt;This is a multiplayer game;;;;;;;;;;;;;x
edmp_this_is_a_multiplayer_game_success_due_to_simulation_mode_tt;This is a multiplayer game §R!!!MP simulation mode!!!§!;;;;;;;;;;;;;x
#
# Cleanup events
EDMPDebug_DisabledDueToMP_Title;(ED:MP) Debug Mode Auto-Disabled!;;;;;;;;;;;;;x
EDMPDebug_DisabledDueToMP_Desc_AISimulation;"AI Simulation Mode" was active in this save when you hosted it for multiplayer.\n\nSince this debug mode would probably cause undesirable effects in a MP game, it has been automatically disabled.;;;;;;;;;;;;;x
EDMPDebug_DisabledDueToMP_Desc_MPSimulation;"MP Simulation Mode" was active in this save when you hosted it for multiplayer.\n\nSince this debug mode would probably cause undesirable effects in a MP game, it has been automatically disabled.;;;;;;;;;;;;;x
EDMPDebug_EvtOpt_OK;OK;;;;;;;;;;;;;x
