# Update all characters
csh_update_all_characters;(CSH) Update all characters' CSH traits;;;;;;;;x
csh_update_all_characters_desc; ;;;;;;;;x
csh_update_all_characters_tt;§RWARNING: CPU-Heavy!§!\nEvery living character's §Yspecial CSH traits§! will be §Gupdated§! §Rimmediately§! (instead of the usual gradual updates throughout the year).;;;;;;;;x
# Enable/disable regular updates
csh_reenable_updates;(CSH) Re-enable updates;;;;;;;;x
csh_reenable_updates_desc; ;;;;;;;;x
csh_remove_all_traits_and_disable_updates;(CSH) Remove all traits and disable updates;;;;;;;;x
csh_remove_all_traits_and_disable_updates_desc;;;;;;;;;x
csh_reenable_updates_tt;Every living character's §Yspecial CSH traits§! will be §Gupdated§! at a random time once per year;;;;;;;;x
csh_disable_updates_tt;Every living character will §Rstop§! having §Yspecial CSH traits§! added or updated;;;;;;;;x
csh_remove_all_traits_tt;Every living character's §Yspecial CSH traits§! will be §Rremoved§!;;;;;;;;x
# Formatting
csh_big_separator;\n§g.§!\n;;;;;;;;x
# Enable/disable trait visibility for me only
csh_disable_traits_for_me_only;(CSH) Traits VISIBLE - Hide?;;;;;;;;x
csh_disable_traits_for_me_only_desc;Since this is a §Ymultiplayer§! game where the host has decided to enable the §Yspecial CSH traits§!, you can decide to §Yhide§! all of those traits from your personal perspective.\n\nYour preference to §Yhide§! the traits will be saved through most kinds of succession. (Abdication is a notable exception.)\n\nCurrent setting: §MVISIBLE§!;;;;;;;;x
csh_enable_traits_for_me_only;(CSH) Traits HIDDEN - Show?;;;;;;;;x
csh_enable_traits_for_me_only_desc;You have chosen to §Yhide§! all of the §Yspecial CSH traits§! from your personal perspective. This decision allows you to reverse that choice, and §Yshow§! them again.\n\nYour preference to §Yhide§! the traits will be saved through most kinds of succession. (Abdication is a notable exception.)\n\nCurrent setting: §MHIDDEN§!;;;;;;;;x
csh_disable_traits_for_me_only_tt;All §Yspecial CSH traits§! will be §Yhidden§!, from your personal perspective;;;;;;;;x
csh_enable_traits_for_me_only_tt;All §Yspecial CSH traits§! will be §Yvisible§!, from your personal perspective;;;;;;;;x
csh_disable_traits_for_me_only_modifier;§M(CSH)§! Traits Hidden;;;;;;;;x
csh_disable_traits_for_me_only_modifier_desc;This modifier is used to track whether a character has chosen to hide all of the §Yspecial CSH traits§!.\n\nHowever, this modifier should normally be hidden - how are you reading this?!;;;;;;;;x
