#
# Possession of an artifact of the specified quality
csh_artifact_1;CSH-Q1;;;;;;;;x
csh_artifact_2;CSH-Q2;;;;;;;;x
csh_artifact_3;CSH-Q3;;;;;;;;x
csh_artifact_4;CSH-Q4;;;;;;;;x
csh_artifact_5;CSH-Q5;;;;;;;;x
csh_artifact_6;CSH-Q6;;;;;;;;x
csh_artifact_7;CSH-Q7;;;;;;;;x
csh_artifact_8;CSH-Q8;;;;;;;;x
csh_artifact_9;CSH-Q9;;;;;;;;x
csh_artifact_1_desc;This character owns an artifact of §Yquality 1§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_2_desc;This character owns an artifact of §Yquality 2§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_3_desc;This character owns an artifact of §Yquality 3§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_4_desc;This character owns an artifact of §Yquality 4§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_5_desc;This character owns an artifact of §Yquality 5§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_6_desc;This character owns an artifact of §Yquality 6§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_7_desc;This character owns an artifact of §Yquality 7§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_8_desc;This character owns an artifact of §Yquality 8§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_9_desc;This character owns an artifact of §Yquality 9+§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
#
# What is the highest quality artifact that is possessed?
csh_artifact_max_1;CSH-MaxQ1;;;;;;;;x
csh_artifact_max_2;CSH-MaxQ2;;;;;;;;x
csh_artifact_max_3;CSH-MaxQ3;;;;;;;;x
csh_artifact_max_4;CSH-MaxQ4;;;;;;;;x
csh_artifact_max_5;CSH-MaxQ5;;;;;;;;x
csh_artifact_max_6;CSH-MaxQ6;;;;;;;;x
csh_artifact_max_7;CSH-MaxQ7;;;;;;;;x
csh_artifact_max_8;CSH-MaxQ8;;;;;;;;x
csh_artifact_max_9;CSH-MaxQ9;;;;;;;;x
csh_artifact_max_1_desc;This character's highest-quality artifact is of §Yquality 1§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_2_desc;This character's highest-quality artifact is of §Yquality 2§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_3_desc;This character's highest-quality artifact is of §Yquality 3§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_4_desc;This character's highest-quality artifact is of §Yquality 4§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_5_desc;This character's highest-quality artifact is of §Yquality 5§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_6_desc;This character's highest-quality artifact is of §Yquality 6§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_7_desc;This character's highest-quality artifact is of §Yquality 7§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_8_desc;This character's highest-quality artifact is of §Yquality 8§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
csh_artifact_max_9_desc;This character's highest-quality artifact is of §Yquality 9+§!.\n\nThis trait was added by the §Y"Character Search Helper"§! mod, so that you can more-easily locate wealthy characters in the character finder.\n\nPlease note that this trait is only updated on each character's yearly pulse, so it may be out of date.;;;;;;;;x
