#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
finno_ugric_opinion;[finno_ugric.GetGroupName] Opinion;Opinion [finno_ugric.GetGroupName];[finno_ugric.GetGroupName]e Meinung;;Parecer [finno_ugric.GetGroupName];;;;;;;;;x
baltic_opinion;[baltic.GetGroupName] Opinion;Opinion [baltic.GetGroupName];[baltic.GetGroupName]e Meinung;;Parecer [baltic.GetGroupName];;;;;;;;;x
magyar_opinion;[magyar.GetGroupName] Opinion;Opinion [magyar.GetGroupName];[magyar.GetGroupName]e Meinung;;Parecer [magyar.GetGroupName];;;;;;;;;x
north_germanic_opinion;[north_germanic.GetGroupName] Opinion;Opinion [north_germanic.GetGroupName];[north_germanic.GetGroupName]e Meinung;;Parecer [north_germanic.GetGroupName];;;;;;;;;x
avar_opinion;[avar.GetName] Opinion;Opinion [avar.GetName];[avar.GetName]e Meinung;;Parecer [avar.GetName];;;;;;;;;x
alan_opinion;[alan.GetName] Opinion;Opinion [alan.GetName];[alan.GetName]e Meinung;;Parecer [alan.GetName];;;;;;;;;x
pecheneg_opinion;[pecheneg.GetName] Opinion;Opinion [pecheneg.GetName];[pecheneg.GetName]e Meinung;;Parecer [pecheneg.GetName];;;;;;;;;x
baltic_pagan_opinion;[baltic_pagan.GetName] Opinion;Opinion [baltic_pagan.GetName];[baltic_pagan.GetName]e Meinung;;Parecer [baltic_pagan.GetName];;;;;;;;;x
baltic_pagan_reformed_opinion;Reformed [baltic_pagan_reformed.GetName] Opinion;Opinion [baltic_pagan_reformed.GetName] réformée;Reformierte [baltic_pagan_reformed.GetName]e Meinung;;Parecer [baltic_pagan_reformed.GetName] reformado;;;;;;;;;x
finnish_pagan_opinion;[finnish_pagan.GetName] Opinion;Opinion [finnish_pagan.GetName];[finnish_pagan.GetName]e Meinung;;Parecer [finnish_pagan.GetName];;;;;;;;;x
finnish_pagan_reformed_opinion;Reformed [finnish_pagan_reformed.GetName] Opinion;Opinion [finnish_pagan_reformed.GetName] réformée;Reformierte [finnish_pagan_reformed.GetName]e Meinung;;Parecer [finnish_pagan_reformed.GetName] reformado;;;;;;;;;x
