###############
# Magnum Opus #
###############
#
# Decision
expd_herm_write_another_magnum_opus;§M(ED:H)§! Write another Magnum Opus;;;;;;;;;;;;;x
expd_herm_write_another_magnum_opus_desc;Record your life's work for posterity in an encrypted Magnum Opus.;Consignez le travail de votre vie pour la postérité dans un magnum opus chiffré.;Zeichnet in einem verschlüsselten Magnum Opus Euer Lebenswerk für die Nachwelt auf.;;Registra el trabajo de tu vida para la posteridad en una magnum opus codificada.;;;;;;;;;x
expd_herm_write_magnum_opus_ai;§M(ED:H)§! Write a Magnum Opus (AI only);;;;;;;;;;;;;x
expd_herm_write_magnum_opus_ai_desc;Record your life's work for posterity in an encrypted Magnum Opus.;Consignez le travail de votre vie pour la postérité dans un magnum opus chiffré.;Zeichnet in einem verschlüsselten Magnum Opus Euer Lebenswerk für die Nachwelt auf.;;Registra el trabajo de tu vida para la posteridad en una magnum opus codificada.;;;;;;;;;x
#
# Tooltips - scripted triggers
expd_herm_10_years_since_previous_magnum_opus_tt;It has been §Y10-19 years§! since [This.GetTitledFirstName] wrote a Magnum Opus;;;;;;;;;;;;;x
expd_herm_20_years_since_previous_magnum_opus_tt;It has been §Y20-29 years§! since [This.GetTitledFirstName] wrote a Magnum Opus;;;;;;;;;;;;;x
expd_herm_30_years_since_previous_magnum_opus_tt;It has been §Y30-39 years§! since [This.GetTitledFirstName] wrote a Magnum Opus;;;;;;;;;;;;;x
expd_herm_40_years_since_previous_magnum_opus_tt;It has been §Y40-49 years§! since [This.GetTitledFirstName] wrote a Magnum Opus;;;;;;;;;;;;;x
expd_herm_50_years_since_previous_magnum_opus_tt;It has been §Y50+ years§! since [This.GetTitledFirstName] wrote a Magnum Opus;;;;;;;;;;;;;x
expd_herm_is_not_currently_writing_a_magnum_opus_tt;[This.GetTitledFirstName] is NOT currently writing a Magnum Opus;;;;;;;;;;;;;x
expd_herm_has_already_written_a_second_magnum_opus_tt;[This.GetTitledFirstName] has already written a second Magnum Opus;;;;;;;;;;;;;x
expd_herm_has_not_already_written_a_second_magnum_opus_tt;[This.GetTitledFirstName] has NOT already written a second Magnum Opus;;;;;;;;;;;;;x
expd_herm_has_already_written_a_third_magnum_opus_tt;[This.GetTitledFirstName] has already written a third Magnum Opus;;;;;;;;;;;;;x
expd_herm_has_not_already_written_a_third_magnum_opus_tt;[This.GetTitledFirstName] has NOT already written a third Magnum Opus;;;;;;;;;;;;;x
#
# Tooltips - cost explanation
expd_herm_costs_below_are_for_second_magnum_opus_tt;§YINFO:§! The costs below are specific to the §Ysecond§! Magnum Opus;;;;;;;;;;;;;x
expd_herm_costs_below_are_for_third_magnum_opus_tt;§YINFO:§! The costs below are specific to the §Ythird§! Magnum Opus;;;;;;;;;;;;;x
expd_herm_costs_below_are_for_fourth_and_later_magnum_opus_tt;§YINFO:§! The costs below are specific to the §Yfourth and later§! Magnum Opuses;;;;;;;;;;;;;x
