# Vampires
expd_pdxrptg_vampire_never_reveal;Never willingly reveal my Vampirism to anyone;;;;;;;;;;;;;x
expd_pdxrptg_vampire_never_reveal_desc;As an §YUnknown Vampire§!, the game will frequently prompt you to reveal your Vampirism to friends, lovers and/or spouses. If you wish to stay in hiding forever, these events can become tiresome. This decision allows you to suppress these events. This is not a permanent choice: you can choose to re-enable these events at any time.;;;;;;;;;;;;;x
expd_pdxrptg_vampire_never_reveal_effect_tt;All events where you might willingly reveal your Vampirism will be §Rsuppressed§!;;;;;;;;;;;;;x
expd_pdxrptg_vampire_allow_reveal;Allow myself to willingly reveal my Vampirism;;;;;;;;;;;;;x
expd_pdxrptg_vampire_allow_reveal_desc;As an §YUnknown Vampire§!, you have chosen to §Rsuppress§! all events where you might willingly reveal your Vampirism. This decision allows you to re-enable those events.;;;;;;;;;;;;;x
expd_pdxrptg_vampire_allow_reveal_effect_tt;All events where you might willingly reveal your Vampirism will be §Gre-enabled§!;;;;;;;;;;;;;x
expd_pdxrptg_vampire_random_reveal;Reveal my Vampirism to a random friend, lover or spouse;;;;;;;;;;;;;x
expd_pdxrptg_vampire_random_reveal_desc;As an §YUnknown Vampire§!, the game will frequently prompt you to reveal your Vampirism to friends, lovers and/or spouses. This decision allows you to deliberately trigger the event, for a random character. Note that, after the event is triggered, you can freely choose to NOT reveal your status to this particular character. Therefore, if you want to reveal your status to one character in particular, you can trigger this decision multiple times.\n\n§YKnown Issue 1:§! While the event chain triggered by this decision is in progress, it is possible (but unlikely) that another "normal" revelation event chain may occur, even if it should normally be blocked.\n\n§YKnown Issue 2:§! You could click this decision multiple times, and trigger multiple simultaneous revelation chains. But the inconsistencies may ruin your character - you have been warned!;;;;;;;;;;;;;x
expd_pdxrptg_vampire_random_reveal_effect_tt;You will receive an event which allows you to reveal your Vampirism to a random friend, lover or spouse.;;;;;;;;;;;;;x
# Lycans
expd_pdxrptg_lycan_never_reveal;Never willingly reveal my Lycanthropy to anyone;;;;;;;;;;;;;x
expd_pdxrptg_lycan_never_reveal_desc;As an §YUnknown Lycanthrope§!, the game will frequently prompt you to reveal your Lycanthropy to friends, lovers and/or spouses. If you wish to stay in hiding forever, these events can become tiresome. This decision allows you to suppress these events. This is not a permanent choice: you can choose to re-enable these events at any time.;;;;;;;;;;;;;x
expd_pdxrptg_lycan_never_reveal_effect_tt;All events where you might willingly reveal your Lycanthropy will be §Rsuppressed§!;;;;;;;;;;;;;x
expd_pdxrptg_lycan_allow_reveal;Allow myself to willingly reveal my Lycanthropy;;;;;;;;;;;;;x
expd_pdxrptg_lycan_allow_reveal_desc;As an §YUnknown Lycanthrope§!, you have chosen to §Rsuppress§! all events where you might willingly reveal your Lycanthropy. This decision allows you to re-enable those events.;;;;;;;;;;;;;x
expd_pdxrptg_lycan_allow_reveal_effect_tt;All events where you might willingly reveal your Lycanthropy will be §Gre-enabled§!;;;;;;;;;;;;;x
expd_pdxrptg_lycan_random_reveal;Reveal my Lycanthropy to a random friend, lover or spouse;;;;;;;;;;;;;x
expd_pdxrptg_lycan_random_reveal_desc;As an §YUnknown Lycanthrope§!, the game will frequently prompt you to reveal your Lycanthropy to friends, lovers and/or spouses. This decision allows you to deliberately trigger the event, for a random character. Note that, after the event is triggered, you can freely choose to NOT reveal your status to this particular character. Therefore, if you want to reveal your status to one character in particular, you can trigger this decision multiple times.\n\n§YKnown Issue 1:§! While the event chain triggered by this decision is in progress, it is possible (but unlikely) that another "normal" revelation event chain may occur, even if it should normally be blocked.\n\n§YKnown Issue 2:§! You could click this decision multiple times, and trigger multiple simultaneous revelation chains. But the inconsistencies may ruin your character - you have been warned!;;;;;;;;;;;;;x
expd_pdxrptg_lycan_random_reveal_effect_tt;You will receive an event which allows you to reveal your Lycanthropy to a random friend, lover or spouse.;;;;;;;;;;;;;x
# Tooltips
expd_pdxrptg_root_vampire_can_reveal_status_to_this_character_tt;Can reveal your status to this character (is §Yadult§!, is NOT a §Yprisoner§!, is NOT §Yindisposed§! is NOT §Yinaccessible§!, is NOT §Yincapable§!, and you have not §Ypreviously revealed your status§! to this character);;;;;;;;;;;;;x
expd_pdxrptg_root_lycan_can_reveal_status_to_this_character_tt;Can reveal your status to this character (is §Yadult§!, is NOT a §Yprisoner§!, is NOT §Yindisposed§! is NOT §Yinaccessible§!, is NOT §Yincapable§!, and you have not §Ypreviously revealed your status§! to this character);;;;;;;;;;;;;x
expd_pdxrptg_vampire_is_not_currently_hunting_tt;Is NOT currently hunting for prey;;;;;;;;;;;;;x
expd_pdxrptg_lycan_is_not_currently_hunting_tt;Is NOT currently hunting for prey;;;;;;;;;;;;;x
